# Cardio Data
exerciseDate,cardio_name,duration,distance,calories,incline,recordedDate
9/20/19, Treadmill, 45.5, 3.0, 300, 0.0, 9/20/19
9/27/19, Treadmill, 46.5, 3.0, 300, 4.2, 9/27/19
9/28/19, Treadmill, 30.0, 2.0, 200, 4.4, 9/28/19
10/18/19, Treadmill, 60.0, 3.8, 300, 4.1, 10/18/19
10/25/19, Treadmill, 59.0, 3.92, 300, 4.7, 10/25/19
11/8/19, Treadmill, 30.0, 2.0, 200, 0.0, 11/8/19
11/10/19, Treadmill, 40.0, 2.52, 250, 0.0, 11/10/19
11/17/19, Treadmill, 46.0, 3.0, 250, 0.0, 11/17/19
11/22/19, Treadmill, 35.0, 2.08, 200, 0.0, 11/22/19
11/24/19, Treadmill, 45.0, 2.65, 250, 0.0, 11/24/19
12/22/19, Treadmill, 40.0, 2.75, 220, 0.0, 12/22/19
12/29/19, Treadmill, 45.0, 2.0, 220, 0.0, 12/29/19
1/3/20, Treadmill, 38.0, 2.4, 200, 0.0, 1/3/20
1/5/20, Treadmill, 40.0, 2.82, 220, 0.0, 1/5/20
1/10/20, Treadmill, 45.0, 2.8, 250, 10.0, 1/10/20
1/17/20, Treadmill, 50.0, 3.17, 300, 11.0, 1/17/20
1/19/20, Treadmill, 34.0, 2.41, 200, 5.2, 1/19/20
1/25/20, Treadmill, 45.0, 2.91, 280, 10.0, 1/25/20
1/28/20, Treadmill, 50.0, 3.25, 280, 4.2, 1/28/20
2/7/20, Treadmill, 50.0, 3.25, 280, 2.0, 2/7/20
2/23/20, Treadmill, 50.0, 3.28, 280, 8.0, 2/23/20
2/28/20, Treadmill, 50.0, 3.33, 280, 9.0, 2/28/20
3/13/20, Treadmill, 50.0, 3.36, 280, 9.5, 3/13/20
3/15/20, Treadmill, 30.0, 1.26, 150, 2.0, 3/15/20
5/29/20, Treadmill, 40.0, 2.31, 225, 8.5, 5/29/20
6/14/20, Treadmill, 40.0, 2.4, 225, 5.5, 6/14/20
7/7/20, Treadmill, 40.0, 2.42, 250, 9.0, 7/7/20
7/10/20, Treadmill, 40.0, 2.39, 230, 7.5, 7/10/20
7/17/20, Treadmill, 25.0, 1.52, 150, 6.0, 7/17/20
9/9/20, Treadmill, 45.0, 2.69, 225, 6.0, 9/9/20
9/11/20, Treadmill, 45.0, 2.75, 225, 12.5, 9/11/20
9/13/20, Treadmill, 35.0, 2.2, 190, 2.0, 9/13/20
9/16/20, Treadmill, 45.0, 2.9, 250, 1.5, 9/16/20
9/18/20, Treadmill, 45.0, 2.79, 250, 8.0, 9/18/20
9/20/20, Treadmill, 20.0, 1.14, 125, 10.5, 9/20/20
9/22/20, Treadmill, 20.0, 1.16, 125, 11.5, 9/22/20
10/9/20, Treadmill, 60.0, 3.62, 300, 10.0, 10/9/20
10/16/20, Treadmill, 25.0, 1.49, 135, 7.0, 10/16/20
10/26/20, Treadmill, 40.0, 2.32, 200, 15.0, 10/26/20
11/20/20, Treadmill, 50.0, 2.87, 225, 6.5, 11/20/20
11/27/20, Treadmill, 50.0, 2.75, 225, 13.0, 11/27/20
12/4/20, Treadmill, 25.0, 1.09, 140, 10.0, 12/4/20
12/10/20, Treadmill, 30.0, 1.69, 140, 15.0, 12/10/20
12/11/20, Treadmill, 40.0, 2.4, 200, 3.5, 12/11/20
12/15/20, Treadmill, 25.0, 1.42, 140, 18.0, 12/15/20
12/17/20, Treadmill, 35.0, 1.81, 140, 5.0, 12/17/20
12/18/20, Treadmill, 30.0, 1.83, 140, 5.0, 12/18/20
12/20/20, Treadmill, 31.0, 1.89, 200, 1.0, 12/20/20
12/22/20, Treadmill, 32.0, 1.99, 200, 1.5, 12/22/20
12/23/20, Treadmill, 40.0, 2.31, 230, 1.5, 12/23/20
12/24/20, Treadmill, 10.0, 0.59, 110, 3.0, 12/24/20
12/26/20, Treadmill, 35.0, 2.09, 220, 10.0, 12/26/20
12/29/20, Treadmill, 32.0, 2.02, 220, 2.0, 12/29/20
12/31/20, Treadmill, 32.0, 2.09, 230, 2.5, 12/31/20
1/1/21, Treadmill, 32.0, 2.09, 230, 4.0, 1/1/21
1/3/21, Treadmill, 32.0, 2.17, 230, 3.0, 1/3/21
1/8/21, Treadmill, 32.5, 1.96, 200, 10.0, 1/8/21
1/10/21, Treadmill, 32.0, 1.96, 200, 2.0, 1/10/21
1/15/21, Treadmill, 32.3, 2.0, 200, 14.0, 1/15/21
1/17/21, Treadmill, 32.0, 2.07, 200, 15.0, 1/17/21
4/18/21, Treadmill, 32.0, 2.0, 200, 5.0, 4/18/21
5/2/21, Treadmill, 40.0, 2.37, 200, 5.0, 5/2/21
6/10/21, Treadmill, 40.0, 2.29, 200, 4.5, 6/10/21
6/11/21, Treadmill, 40.0, 2.36, 200, 7.0, 6/11/21
6/18/21, Treadmill, 40.0, 2.37, 200, 14.0, 6/18/21
6/19/21, Treadmill, 42.0, 2.58, 235, 4.0, 6/19/21
6/22/21, Treadmill, 42.0, 2.68, 235, 4.2, 6/22/21
6/24/21, Treadmill, 42.0, 2.71, 235, 2.0, 6/24/21
6/25/21, Elliptical, 10.0, 0.4, 235, 8.0, 6/25/21
6/26/21, Treadmill, 50.0, 3.02, 290, 3.5, 6/26/21
7/1/21, Treadmill, 42.0, 2.69, 230, 3.0, 7/1/21
7/2/21, Treadmill, 42.0, 2.82, 230, 0.5, 7/2/21
7/3/21, Treadmill, 20.0, 1.17, 190, 12.0, 7/3/21
7/5/21, Treadmill, 45.0, 3.0, 250, 0.0, 7/5/21
7/19/21, Treadmill, 50.0, 3.0, 250, 8.5, 7/19/21
7/24/21, Treadmill, 50.0, 3.2, 250, 0.0, 7/24/21
7/26/21, Treadmill, 35.0, 2.0, 250, 13.0, 7/26/21
7/28/21, Treadmill, 35.0, 2.0, 250, 15.0, 7/28/21
8/21/21, Treadmill, 45.0, 2.51, 250, 1.0, 8/21/21
12/29/21, Treadmill, 40.0, 2.23, 250, 1.0, 12/29/21
1/29/22, Treadmill, 40.0, 2.19, 250, 3.0, 1/29/22
2/2/22, Treadmill, 40.0, 2.32, 250, 2.0, 2/2/22
3/14/22, Treadmill, 40.0, 2.13, 250, 1.5, 3/14/22
3/16/22, Treadmill, 40.0, 2.24, 245, 3.0, 3/16/22
3/21/22, Treadmill, 40.0, 2.34, 261, 4.0, 3/21/22
6/25/22, Treadmill, 40.0, 2.28, 244, 2.0, 6/25/22
6/27/22, Treadmill, 45.0, 2.63, 334, 0.0, 6/27/22
10/3/22, Treadmill, 40.0, 2.23, 266, 4.0, 10/3/22
10/10/22, Treadmill, 40.0, 2.31, 271, 5.0, 10/10/22
10/20/22, Treadmill, 42.0, 2.49, 242, 0.0, 10/20/22
11/21/22, Treadmill, 40.0, 2.31, 266, 3.5, 10/20/22
2/2/23, Treadmill, 40.0, 1.69, 197, 4.5, 2/2/23
2/15/23, Treadmill, 32.0, 1.72, 192, 5.0, 2/15/23
3/13/23, Treadmill, 40.0, 2.72, 277, 7.5, 3/13/23
6/7/23, Treadmill, 45.0, 2.54, 310, 4.6, 6/7/23
7/4/23, Treadmill, 50.0, 2.92, 487, 6.0, 7/4/23
7/6/23, Treadmill, 50.0, 3.03, 375, 5.0, 7/6/23
9/13/23, Treadmill, 50.0, 2.84, 300, 1.0, 9/13/23
8/19/25, Treadmill, 30.0, 1.51, 117, 1.5, 8/19/25
8/22/25, Treadmill, 30.0, 1.64, 146, 2.5, 8/22/25
8/26/25, Treadmill, 32.0, 1.87, 169, 3.0, 8/26/25
8/28/25, Treadmill, 34.0, 1.99, 168, 2.0, 8/28/25
8/29/25, Treadmill, 35.0, 2.11, 175, 1.5, 8/29/25
9/2/25, Treadmill, 34.0, 1.74, 159, 2.5, 9/2/25
9/4/25, Treadmill, 35.0, 2.07, 180, 1.0, 9/4/25
9/5/25, Treadmill, 30.0, 1.66, 151, 3.0, 9/5/25
9/9/25, Treadmill, 35.0, 2.06, 193, 3.0, 9/9/25
9/15/25, Treadmill, 35.0, 2.12, 180, 2.0, 9/15/25

# Strength Data
exerciseDate,strength_name,sets,reps,weight,recordedDate
9/20/20, Back Extension, 3,12, 130, 9/20/20
9/20/20, Lat Pull, 3,12, 70, 9/20/20
9/20/20, Lat Raise, 3,12, 50, 9/20/20
9/20/20, Seated Row, 3,12, 85, 9/20/20
9/22/20, Back Extension, 3,12, 135, 9/22/20
9/22/20, Lat Raise, 3,12, 52, 9/22/20
9/22/20, Chest Press, 3,12, 70, 9/22/20
9/22/20, Leg Press, 3,12, 70, 9/22/20
9/22/20, Seated Row, 3,12, 75, 9/22/20
9/22/20, Tricep Extension, 3,12, 40, 9/22/20
10/16/20, Back Extension, 3,12, 140, 10/16/20
10/16/20, Leg Press, 3,12, 75, 10/16/20
10/16/20, Seated Row, 3,12, 90, 10/16/20
10/16/20, Lat Raise, 3,12, 52, 10/16/20
10/16/20, Shoulder Press, 3,12, 50, 10/16/20
10/16/20, Chest Press, 3,12, 70, 10/16/20
12/10/20, Leg Press, 3,12, 75, 12/10/20
12/10/20, Seated Row, 3,12, 90, 12/10/20
12/11/20, Lat Raise, 3,12, 52, 12/11/20
12/11/20, Back Extension, 3,12, 140, 12/11/20
12/15/20, Leg Press, 3,12, 80, 12/15/20
12/15/20, Back Extension, 3,12, 145, 12/15/20
12/15/20, Tricep Extension, 3,12, 42, 12/15/20
12/17/20, Shoulder Press, 3,12, 50, 12/17/20
12/17/20, Lat Raise, 3,12, 52, 12/17/20
12/17/20, Seated Row, 3,12, 90, 12/17/20
12/18/20, Back Extension, 3,12, 150, 12/18/20
12/18/20, Leg Press, 3,12, 85, 12/18/20
12/18/20, Leg Extension, 3,12, 55, 12/18/20
12/20/20, Leg Press, 3,12, 90, 12/20/20
12/20/20, Back Extension, 3,12, 155, 12/20/20
12/20/20, Seated Row, 3,12, 95, 12/20/20
12/20/20, Lat Raise, 3,12, 52, 12/20/20
12/20/20, Tricep Extension, 3,12, 45, 12/20/20
12/22/20, Back Extension, 3,12, 160, 12/22/20
12/22/20, Chest Press, 3,12, 75, 12/22/20
12/22/20, Lat Raise, 3,12, 55, 12/22/20
12/24/20, Shoulder Press, 3,12, 55, 12/24/20
12/24/20, Leg Curl, 3,12, 40, 12/24/20
12/24/20, Leg Extension, 3,12, 57, 12/24/20
12/24/20, Bicep Curl, 3,12, 30, 12/24/20
12/26/20, Back Extension, 3,12, 160, 12/26/20
12/26/20, Lat Raise, 3,12, 57, 12/26/20
12/26/20, Bicep Curl, 3,12, 30, 12/26/20
12/29/20, Chest Press, 3,12, 75, 12/29/20
12/29/20, Rear Delt, 3,12, 80, 12/29/20
12/29/20, Back Extension, 3,12, 165, 12/29/20
12/31/20, Lat Raise, 3,12, 60, 12/31/20
12/31/20, Rear Delt, 3,12, 85, 12/31/20
12/31/20, Tricep Extension, 3,12, 50, 12/31/20
1/1/21, Back Extension, 3,12, 165, 1/1/21
1/1/21, Seated Row, 3,12, 95, 1/1/21
1/1/21, Leg Extension, 3,12, 55, 1/1/21
1/3/21, Lat Raise, 3,12, 62, 1/3/21
1/3/21, Bicep Curl, 3,12, 32, 1/3/21
1/3/21, Leg Curl, 3,12, 45, 1/3/21
1/3/21, Lat Pull, 3,12, 90, 1/3/21
1/8/21, Back Extension, 3,12, 170, 1/8/21
1/8/21, Chest Fly, 3,12, 90, 1/8/21
1/8/21, Rear Delt, 3,12, 55, 1/8/21
1/10/21, Leg Extension, 3,12, 60, 1/10/21
1/10/21, Leg Curl, 3,12, 50, 1/10/21
1/10/21, Tricep Extension, 3,12, 50, 1/10/21
1/10/21, Ab Crunch, 3,12, 35, 1/10/21
1/15/21, Lat Raise, 3,12, 62, 1/15/21
1/15/21, Lat Pull, 3,12, 95, 1/15/21
1/15/21, Ab Crunch, 3,12, 35, 1/15/21
1/17/21, Back Extension, 3,12, 175, 1/17/21
1/17/21, Chest Fly, 3,12, 95, 1/17/21
1/17/21, Rear Delt, 3,12, 55, 1/17/21
1/17/21, Ab Crunch, 3,12, 37, 1/17/21
4/18/21, Back Extension, 3,12, 140, 4/18/21
4/18/21, Lat Pull, 3,12, 75, 4/18/21
5/2/21, Back Extension, 3,12, 140, 5/2/21
5/2/21, Seated Row, 3,12, 90, 5/2/21
5/2/21, Lat Raise, 3,12, 55, 5/2/21
6/10/21, Lat Raise, 3,12, 55, 6/10/21
6/10/21, Back Extension, 3,12, 140, 6/10/21
6/11/21, Seated Row, 3,12, 90, 6/11/21
6/11/21, Chest Press, 3,12, 65, 6/11/21
6/18/21, Back Extension, 3,12, 140, 6/18/21
6/18/21, Leg Extension, 3,12, 50, 6/18/21
6/19/21, Tricep Extension, 3,12, 40, 6/19/21
6/19/21, Ab Crunch, 3,12, 25, 6/19/21
